"a","r"
"0.0","0.1"
"0.0696629213483146","0.14382022471910114"
"0.1393258426966292","0.18764044943820224"
"0.20898876404494382","0.23146067415730337"
"0.2786516853932584","0.2752808988764045"
"0.348314606741573","0.31910112359550563"
"0.41797752808988764","0.36292134831460676"
"0.48764044943820223","0.40674157303370784"
"0.5573033707865168","0.450561797752809"
"0.6269662921348315","0.4943820224719101"
"0.696629213483146","0.5382022471910113"
"0.7662921348314606","0.5820224719101124"
"0.8359550561797753","0.6258426966292134"
"0.9056179775280898","0.6696629213483146"
"0.97528089887640446","0.7134831460674157"
"1.044943820224719","0.7573033707865169"
"1.1146067415730336","0.801123595505618"
"1.1842696629213483","0.844943820224719"
"1.253932584269663","0.8887640449438202"
"1.3235955056179773","0.93258426966292129"
"1.393258426966292","0.97640449438202248"
"1.4629213483146066","1.0202247191011236"
"1.5325842696629213","1.0640449438202249"
"1.602247191011236","1.107865168539326"
"1.6719101123595506","1.151685393258427"
"1.741573033707865","1.195505617977528"
"1.8112359550561796","1.2393258426966294"
"1.8808988764044943","1.2831460674157305"
"1.950561797752809","1.3269662921348315"
"2.0202247191011233","1.3707865168539326"
"2.089887640449438","1.414606741573034"
"2.1595505617977526","1.458426966292135"
"2.2292134831460673","1.502247191011236"
"2.298876404494382","1.5460674157303371"
"2.3685393258426966","1.5898876404494382"
"2.438202247191011","1.6337078651685395"
"2.507865168539326","1.6775280898876406"
"2.5775280898876405","1.7213483146067416"
"2.6471910112359547","1.7651685393258427"
"2.7168539325842693","1.808988764044944"
"2.786516853932584","1.852808988764045"
"2.8561797752808986","1.8966292134831462"
"2.9258426966292133","1.9404494382022472"
"2.995505617977528","1.9842696629213483"
"3.0651685393258425","2.0280898876404496"
"3.134831460674157","2.0719101123595505"
"3.204494382022472","2.1157303370786518"
"3.2741573033707865","2.159550561797753"
"3.343820224719101","2.203370786516854"
"3.4134831460674153","2.247191011235955"
"3.48314606741573","2.291011235955056"
"3.5528089887640446","2.3348314606741574"
"3.6224719101123593","2.3786516853932587"
"3.692134831460674","2.4224719101123595"
"3.7617977528089885","2.466292134831461"
"3.831460674157303","2.510112359550562"
"3.901123595505618","2.553932584269663"
"3.9707865168539325","2.5977528089887643"
"4.040449438202247","2.641573033707865"
"4.110112359550562","2.6853932584269664"
"4.179775280898876","2.7292134831460677"
"4.249438202247191","2.7730337078651686"
"4.319101123595505","2.81685393258427"
"4.38876404494382","2.8606741573033707"
"4.4584269662921345","2.904494382022472"
"4.528089887640449","2.9483146067415733"
"4.597752808988764","2.992134831460674"
"4.667415730337078","3.0359550561797755"
"4.737078651685393","3.0797752808988763"
"4.806741573033707","3.1235955056179776"
"4.876404494382022","3.167415730337079"
"4.946067415730337","3.2112359550561798"
"5.015730337078652","3.255056179775281"
"5.085393258426966","3.298876404494382"
"5.155056179775281","3.342696629213483"
"5.224719101123595","3.3865168539325845"
"5.294382022471909","3.4303370786516854"
"5.3640449438202245","3.4741573033707867"
"5.433707865168539","3.517977528089888"
"5.503370786516854","3.561797752808989"
"5.573033707865168","3.60561797752809"
"5.642696629213483","3.649438202247191"
"5.712359550561797","3.6932584269662923"
"5.782022471910112","3.7370786516853935"
"5.8516853932584265","3.7808988764044944"
"5.921348314606742","3.8247191011235957"
"5.991011235955056","3.8685393258426966"
"6.06067415730337","3.912359550561798"
"6.130337078651685","3.956179775280899"
"6.2","4.0"
