"life","share"
"71.777","0.03333333333333333"
"72.476","0.06666666666666667"
"73.005","0.1"
"73.338","0.13333333333333333"
"74.002","0.16666666666666666"
"74.543","0.2"
"74.663","0.23333333333333334"
"74.852","0.26666666666666666"
"75.563","0.3"
"75.748","0.3333333333333333"
"76.423","0.36666666666666664"
"76.486","0.4"
"77.926","0.43333333333333335"
"78.098","0.4666666666666667"
"78.332","0.5"
"78.885","0.5333333333333333"
"79.313","0.5666666666666667"
"79.406","0.6"
"79.425","0.6333333333333333"
"79.441","0.6666666666666666"
"79.483","0.7"
"79.762","0.7333333333333333"
"79.829","0.7666666666666667"
"80.196","0.8"
"80.546","0.8333333333333334"
"80.657","0.8666666666666667"
"80.884","0.9"
"80.941","0.93333333333333335"
"81.701","0.96666666666666667"
"81.757","1.0"
