"east","north","altitude","glider","instant"
"330.0","0.0","900.0","Alpha","0.0"
"117.01961272403673","308.5553600861869","970.0816822723878","Alpha","20.0"
"-247.0085468964634","218.8304772194624","1040.1633645447755","Alpha","40.0"
"-292.2004884655592","-153.3586467744437","1110.245046817163","Alpha","60.0"
"39.777104484256654","-327.59392845235783","1180.3267290895508","Alpha","80.0"
"320.41079975059716","-78.97416921489408","1250.4084113619385","Alpha","100.0"
"187.46136642128124","271.58467574490675","1320.4900936343263","Alpha","120.0"
"-187.46136642128155","271.5846757449065","1390.5717759067138","Alpha","140.0"
"-320.4107997505971","-78.97416921489416","1460.6534581791016","Alpha","160.0"
"-39.77710448425657","-327.59392845235783","1530.7351404514893","Alpha","180.0"
"292.20048846555926","-153.35864677444366","1600.816822723877","Alpha","200.0"
"247.00854689646343","218.83047721946235","1670.8985049962646","Alpha","220.0"
"-117.01961272403717","308.55536008618674","1740.9801872686526","Alpha","240.0"
"-330.0","-0.0000000000003841310351427694","1811.06186954104","Alpha","260.0"
"-117.01961272403646","-308.555360086187","1881.1435518134278","Alpha","280.0"
"247.00854689646314","-218.83047721946267","1951.2252340858154","Alpha","300.0"
"292.20048846555915","153.3586467744438","2021.3069163582031","Alpha","320.0"
"-165.0","0.000000000000020206672185931328","900.0","Bravo","0.0"
"-58.50980636201842","-154.27768004309343","995.45608447445909","Bravo","20.0"
"123.50427344823163","-109.41523860973128","1090.9121689489182","Bravo","40.0"
"146.10024423277963","76.67932338722184","1186.3682534233774","Bravo","60.0"
"-19.88855224212831","163.79696422617891","1281.8243378978364","Bravo","80.0"
"-160.2053998752986","39.48708460744691","1377.2804223722956","Bravo","100.0"
"-93.73068321064063","-135.79233787245334","1472.7365068467548","Bravo","120.0"
"93.73068321064076","-135.79233787245326","1568.1925913212137","Bravo","140.0"
"160.20539987529858","39.48708460744706","1663.6486757956727","Bravo","160.0"
"19.888552242128302","163.79696422617891","1759.104760270132","Bravo","180.0"
"-146.10024423277963","76.67932338722184","1854.5608447445911","Bravo","200.0"
"-123.50427344823171","-109.41523860973118","1950.01692921905","Bravo","220.0"
"58.50980636201857","-154.27768004309337","2045.4730136935093","Bravo","240.0"
"165.0","-0.00000000000012124003311558795","2140.9290981679687","Bravo","260.0"
"58.509806362018246","154.2776800430935","2236.3851826424275","Bravo","280.0"
"-123.50427344823154","109.41523860973133","2331.8412671168862","Bravo","300.0"
"-146.1002442327796","-76.67932338722188","2427.2973515913454","Bravo","320.0"
